23:50:29,720 esp_1_5s_5m_CB -> 16,6 C | pin34= 1715 | Bat = 2,57 V
23:50:34,956 esp_1_5s_5m_CB -> 16,6 C | pin34= 1713 | Bat = 2,59 V
23:50:40,199 esp_1_5s_5m_CB -> 16,6 C | pin34= 1720 | Bat = 3,00 V
23:50:45,407 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,56 V
23:50:50,620 esp_1_5s_5m_CB -> 16,6 C | pin34= 1711 | Bat = 2,56 V
23:50:55,854 esp_1_5s_5m_CB -> 16,6 C | pin34= 1719 | Bat = 2,57 V
23:51:01,128 esp_1_5s_5m_CB -> 16,6 C | pin34= 1712 | Bat = 2,59 V
23:51:06,324 esp_1_5s_5m_CB -> 16,6 C | pin34= 1714 | Bat = 2,59 V
23:51:11,520 esp_1_5s_5m_CB -> 16,6 C | pin34= 1717 | Bat = 2,86 V
23:51:16,762 esp_1_5s_5m_CB -> 16,6 C | pin34= 1744 | Bat = 2,56 V
23:51:21,980 esp_1_5s_5m_CB -> 16,6 C | pin34= 1714 | Bat = 2,55 V
