21:39:48.509 esp_3_10s_5m -> 23.0 C | pin34= 1831 | Bat = 3.20 V
21:39:58.460 esp_3_10s_5m -> 22.9 C | pin34= 1834 | Bat = 3.39 V
21:40:08.963 esp_3_10s_5m -> 22.9 C | pin34= 1707 | Bat = 3.40 V
21:40:18.960 esp_3_10s_5m -> 22.9 C | pin34= 1829 | Bat = 3.40 V
21:40:29.460 esp_3_10s_5m -> 22.9 C | pin34= 1830 | Bat = 3.41 V
21:40:39.460 esp_3_10s_5m -> 22.9 C | pin34= 1830 | Bat = 3.23 V
21:40:49.960 esp_3_10s_5m -> 22.9 C | pin34= 1830 | Bat = 3.41 V
21:40:59.960 esp_3_10s_5m -> 22.9 C | pin34= 1832 | Bat = 3.41 V
21:41:10.460 esp_3_10s_5m -> 22.9 C | pin34= 1837 | Bat = 3.18 V
21:41:20.460 esp_3_10s_5m -> 22.9 C | pin34= 1835 | Bat = 3.41 V
21:41:30.960 esp_3_10s_5m -> 22.8 C | pin34= 1833 | Bat = 3.37 V
21:41:40.960 esp_3_10s_5m -> 22.9 C | pin34= 1835 | Bat = 3.42 V
21:41:50.959 esp_3_10s_5m -> 22.8 C | pin34= 1831 | Bat = 3.37 V
21:42:01.460 esp_3_10s_5m -> 22.8 C | pin34= 1835 | Bat = 3.43 V
21:42:11.459 esp_3_10s_5m -> 22.8 C | pin34= 1840 | Bat = 3.43 V
21:42:21.960 esp_3_10s_5m -> 22.8 C | pin34= 1841 | Bat = 3.43 V
21:42:31.959 esp_3_10s_5m -> 22.8 C | pin34= 1835 | Bat = 3.23 V
21:42:42.459 esp_3_10s_5m -> 22.8 C | pin34= 1836 | Bat = 3.42 V
21:42:52.533 esp_3_10s_5m -> 22.8 C | pin34= 1840 | Bat = 3.43 V
21:43:03.007 esp_3_10s_5m -> 22.8 C | pin34= 1841 | Bat = 3.24 V
21:43:12.960 esp_3_10s_5m -> 22.8 C | pin34= 1839 | Bat = 3.43 V
21:43:23.460 esp_3_10s_5m -> 22.8 C | pin34= 1834 | Bat = 3.38 V
21:43:33.459 esp_3_10s_5m -> 22.8 C | pin34= 1841 | Bat = 3.43 V
21:43:43.470 esp_3_10s_5m -> 22.8 C | pin34= 1834 | Bat = 3.43 V
21:43:53.960 esp_3_10s_5m -> 22.7 C | pin34= 1833 | Bat = 3.30 V
21:44:03.960 esp_3_10s_5m -> 22.7 C | pin34= 1838 | Bat = 3.43 V
21:44:14.460 esp_3_10s_5m -> 22.7 C | pin34= 1840 | Bat = 3.43 V
21:44:24.460 esp_3_10s_5m -> 22.7 C | pin34= 1841 | Bat = 3.43 V
21:44:34.960 esp_3_10s_5m -> 22.7 C | pin34= 1838 | Bat = 3.21 V
21:44:44.960 esp_3_10s_5m -> 22.7 C | pin34= 1835 | Bat = 3.42 V
21:44:55.962 esp_3_10s_5m -> 22.7 C | pin34= 1836 | Bat = 3.37 V
21:45:05.460 esp_3_10s_5m -> 22.7 C | pin34= 1740 | Bat = 3.38 V
21:45:15.460 esp_3_10s_5m -> 22.7 C | pin34= 1837 | Bat = 3.43 V
21:45:25.960 esp_3_10s_5m -> 22.6 C | pin34= 1840 | Bat = 3.43 V
21:45:35.962 esp_3_10s_5m -> 22.6 C | pin34= 1831 | Bat = 3.43 V
21:45:46.461 esp_3_10s_5m -> 22.6 C | pin34= 1837 | Bat = 3.43 V
21:45:56.459 esp_3_10s_5m -> 22.6 C | pin34= 1834 | Bat = 3.43 V
21:46:06.960 esp_3_10s_5m -> 22.6 C | pin34= 1840 | Bat = 3.44 V
21:46:16.960 esp_3_10s_5m -> 22.6 C | pin34= 1838 | Bat = 3.43 V
21:46:27.460 esp_3_10s_5m -> 22.6 C | pin34= 1743 | Bat = 3.28 V
21:46:37.460 esp_3_10s_5m -> 22.6 C | pin34= 1833 | Bat = 3.43 V
21:46:47.960 esp_3_10s_5m -> 22.6 C | pin34= 1834 | Bat = 3.38 V
21:46:57.960 esp_3_10s_5m -> 22.6 C | pin34= 1840 | Bat = 3.43 V
21:47:07.960 esp_3_10s_5m -> 22.6 C | pin34= 1833 | Bat = 3.43 V
21:47:18.460 esp_3_10s_5m -> 22.6 C | pin34= 1829 | Bat = 3.42 V
21:47:28.460 esp_3_10s_5m -> 22.6 C | pin34= 1834 | Bat = 3.42 V
21:47:38.960 esp_3_10s_5m -> 22.6 C | pin34= 1836 | Bat = 3.42 V
21:47:48.960 esp_3_10s_5m -> 22.6 C | pin34= 1840 | Bat = 3.24 V
21:47:59.960 esp_3_10s_5m -> 22.6 C | pin34= 1834 | Bat = 3.42 V
21:48:09.459 esp_3_10s_5m -> 22.6 C | pin34= 1835 | Bat = 3.41 V
21:48:19.959 esp_3_10s_5m -> 22.6 C | pin34= 1835 | Bat = 3.35 V
21:48:29.959 esp_3_10s_5m -> 22.6 C | pin34= 1831 | Bat = 3.41 V
21:48:40.463 esp_3_10s_5m -> 22.6 C | pin34= 1838 | Bat = 3.37 V
21:48:50.463 esp_3_10s_5m -> 22.6 C | pin34= 1827 | Bat = 3.40 V
21:49:00.460 esp_3_10s_5m -> 22.6 C | pin34= 1831 | Bat = 3.41 V
21:49:10.961 esp_3_10s_5m -> 22.6 C | pin34= 1825 | Bat = 3.18 V
